Song Name,Artist Name,Mood,Song Link,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
Borgov II,Carlos Rafael Rivera,Happy,https://youtu.be/t5VI4Gk7ZKg?si=EKe9pZXJgaUkMef7,68,0.695,0.743,6,-3.85,1,0.0329,0.0786,0,0.0587,0.634,123.007,201254
I Don't Wanna Live Forever,ZAYN,Happy,https://youtu.be/gtvpE9-Qkb8?si=tIMhiQW-0uN1NNcI,84,0.625,0.814,0,-5.181,1,0.0657,0.0172,0,0.158,0.535,144.991,205485
Nothing's the Same,Alexander 23,Happy,https://youtu.be/W_g8izPahKY?si=Xtxj7b02vPXsM-s5,79,0.758,0.712,7,-3.781,1,0.112,0.0185,0,0.0677,0.795,149.998,193387
Speechless,Robin Schulz,Happy,https://youtu.be/tH5HAmyFFi4?si=U7A-WUZV8VM7TO9h,83,0.749,0.925,10,-5.034,1,0.227,0.241,0,0.52,0.641,86.989,263373
Poison,DJ Gollum,Happy,https://youtu.be/4M9l8ZyvTbM?si=ee5GBD9ZenKOT8hT,76,0.706,0.824,0,-7.959,1,0.0694,0.355,0.000133,0.111,0.86,94.98,132000
DRXGS,Yellow Claw,Happy,https://youtu.be/3-PFuVHaCYg?si=WTmpI7g92pkAMTfU,62,0.799,0.791,2,-5.173,1,0.109,0.3,0.00089,0.104,0.651,119.993,177476
I Love You.,Kaivon,Happy,https://youtu.be/1hhCjrIw_5U?si=7TceMY8b8pzwLBnf,87,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41E-06,0.118,0.637,119.976,154983
Sweet Time,Porter Robinson,Happy,https://youtu.be/Nshseylx60I?si=NuqqcoodQ2MXgoqN,66,0.702,0.709,0,-6.138,0,0.0836,0.189,0.000432,0.225,0.635,118.189,154576
Magic in the Air,Magic System,Happy,https://youtu.be/BAkqJT_sMKQ?si=qxx3MoNPvg8qi4Y_,87,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41E-06,0.118,0.637,119.976,154983
Space Melody,VIZE,Happy,https://youtu.be/AAoacybIL4U?si=mRM2WBM3Wh1_ssmo,79,0.733,0.96,7,-3.597,1,0.0295,0.0514,0.00199,0.287,0.811,124.01,189672
My House,Elderbrook,Happy,https://youtu.be/B9l1g5tqn7s?si=KngVty99aihdLavr,84,0.444,0.819,10,-4.078,0,0.341,0.106,0,0.107,0.747,82.695,187973
Slow Clap,Gwen Stefani,Happy,https://youtu.be/tYFw9I0MFhM?si=CKV7EzdXQw6TQBFX,59,0.751,0.857,1,-4.385,0,0.0752,0.31,0,0.0801,0.501,104.984,151999
Smile,Juice WRLD,Happy,https://youtu.be/jyRH9IEpQmk?si=fbuAOVBjwmUP2nbw,59,0.751,0.857,1,-4.385,0,0.0752,0.31,0,0.0801,0.501,104.984,151999
Don't Wanna Know,Maroon 5,Happy,https://youtu.be/OxPv8mSTv9U?si=1eJyAFQK-65OMDi9,0,0.69,0.809,2,-4.198,1,0.0603,0.524,0,0.147,0.864,123.912,190800
Imagination,Shawn Mendes,Happy,https://youtu.be/xXEx0DyIMks?si=ZwR36IP9llgBUG1s,53,0.626,0.79,3,-6.502,1,0.0397,0.0196,8.86E-05,0.106,0.539,127.039,297643
Liar,Camila Cabello,Happy,https://youtu.be/vVqGNfAZb2w?si=8w-sJ0aIs3nYim-A,60,0.682,0.841,10,-3.465,0,0.139,0.0308,0,0.0534,0.717,90.15,207667
Happier,Ed Sheeran,Happy,https://youtu.be/V8_XYeQeVP0?si=1TlmT2YEZ58ZFcTV,76,0.67,0.743,10,-4.993,1,0.0393,0.237,0,0.465,0.571,125.944,218293
Woman Like Me,Little Mix,Happy,https://youtu.be/xvEbYmVsvvU?si=-Z7qhWtvWiVf0y6J,66,0.61,0.87,2,-4.012,0,0.0693,0.00299,0,0.064,0.523,125.014,211360
Aaoge Tum Kabhi,The Local Train,Happy,https://youtu.be/hvKaPTmQBA8?si=DeMIqiTJkOjSXyAm,82,0.581,0.963,11,-4.087,1,0.0981,0.0295,0,0.139,0.788,129.992,204160
Knock Knock,SoFaygo,Happy,https://youtu.be/gYRo5KK4jaM?si=0ykeDFyJiwhV9kLX,90,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,208867
2002,Anne-Marie,Happy,https://youtu.be/WvcF5WsKpfk?si=b_yFJwzePzJwGEap,84,0.625,0.814,0,-5.181,1,0.0657,0.0172,0,0.158,0.535,144.991,205485
FEFE,6ix9ine,Happy,https://youtu.be/oNg3M9IJJlY?si=ftlrvMacGpOVZMRw,71,0.716,0.736,1,-5.18,0,0.0363,0.336,1.40E-05,0.137,0.542,104.018,203953
Wishing Well,Juice WRLD,Happy,https://youtu.be/4opO3KxoUnI?si=-o5AfYdkBzRWCjnh,67,0.786,0.732,7,-6.664,1,0.0421,0.0547,2.47E-06,0.342,0.631,123.982,190680
Fast Car,Jonas Blue,Happy,https://youtu.be/w37EFJceMSU?si=20NYzss1F4rjuPD9,66,0.702,0.709,0,-6.138,0,0.0836,0.189,0.000432,0.225,0.635,118.189,154576
Aicha,Outlandish,Happy,https://youtu.be/BAGPTKnDXko?si=auCX1BoDR5H5pGIa,73,0.499,0.898,8,-4.181,0,0.124,0.124,7.20E-06,0.0832,0.618,120.04,207668
First Day At School,Carlos Rafael Rivera,Happy,https://youtu.be/vl-0EaK_nhs?si=ZItsi-ggfGQFdYTR,69,0.735,0.784,11,-7.128,0,0.0332,0.449,0.154,0.105,0.582,120.012,191000
Happy Now,Zedd,Happy,https://youtu.be/g-tNJrAgP54?si=4zBvNWhuTIzdCTy7,83,0.749,0.925,10,-5.034,1,0.227,0.241,0,0.52,0.641,86.989,263373
Titans,Major Lazer,Happy,https://youtu.be/uiuqmsWIqMA?si=7vxpYSyT4gyNAfXB,15,0.68,0.895,2,-7.144,1,0.0378,0.0156,0.000374,0.145,0.824,93.037,189375
Switch It Up,JAY B,Happy,https://youtu.be/hIp2fyfjSsI?si=72kWbbK9jKnRp4cQ,82,0.393,0.858,4,-2.868,0,0.0729,0.00359,0,0.102,0.56,176.042,228360
Goodbye,Imanbek,Happy,https://youtu.be/9PzTY4rVENQ?si=Xw8-S3QWpkRgWuON,82,0.393,0.858,4,-2.868,0,0.0729,0.00359,0,0.102,0.56,176.042,228360
Death By A Thousand Cuts,Taylor Swift,Happy,https://youtu.be/GTEFSuFfgnU?si=puvP4zSVmcX_cs5f,86,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427
Feel Good,Gryffin,Happy,https://youtu.be/L2OR9XoFFWw?si=wHE4DcOP2Dt6rOCW,49,0.772,0.887,0,-4.461,0,0.347,0.00644,0,0.339,0.705,126.026,136190
Pretty Please,Dua Lipa,Happy,https://youtu.be/ylzhMn6MlVc?si=ySasNe11qMEh4GGX,59,0.614,0.833,0,-4.333,1,0.0708,0.108,1.37E-06,0.18,0.811,171.048,168927
Beauty and the Beast,CÃ©line Dion,Happy,https://youtu.be/ippaCca4L6A?si=FAvSLRn_TTJqCB5S,89,0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977,203064
Revolver,bÃ¼low,Happy,,80,0.624,0.876,9,-3.374,1,0.1,0.0735,0,0.327,0.781,99.943,170827
Die For a Man,Bebe Rexha,Happy,https://youtu.be/zrPh3SVxDYk?si=jNns1j_NQlrlb0DV,82,0.393,0.858,4,-2.868,0,0.0729,0.00359,0,0.102,0.56,176.042,228360
Telling Myself,Joshua Bassett,Happy,https://youtu.be/Qp2U5BrIK5I?si=aANYoI2bOEZhgTJe,69,0.735,0.784,11,-7.128,0,0.0332,0.449,0.154,0.105,0.582,120.012,191000
Agar Tum Mil Jao,Shreya Ghoshal,Happy,https://youtu.be/olTVf-fKfKw?si=RyTEiFFcS1JKJoEb,84,0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,210960
